name,height,weight,position,birthday
Kim Namjoon,181,147,Leader,"September 12, 1994"
Kim Seokjin,179,139,Vocalist,"December 4, 1992"
Min Yoongi,174,130,Rapper,"March 9, 1993"
Jung Hoseok,177,143,Dancer,"February 18, 1994"
Park Jimin,174,134,Vocalist,"October 13, 1995"
Kim Taehyung,178,137,Vocalist,"December 30, 1995"
Jeon Jeong-guk,178,145,Vocalist,"September 1, 1997"
